batch_id,timestamp,batch_start_row,batch_end_row,p0_drift_count,p0_total_seen,p1_drift_count,p1_total_seen,p2_drift_count,p2_total_seen,p3_drift_count,p3_total_seen,desync_gap
1,2026-03-06T01:24:45.097624,0,5000,4,1258,19,1256,14,1244,24,1242,225
2,2026-03-06T01:24:45.451406,5000,10000,4,2526,20,2503,27,2486,38,2485,225
3,2026-03-06T01:24:45.809468,10000,15000,6,3780,20,3758,45,3736,50,3726,225
4,2026-03-06T01:24:46.226828,15000,20000,14,5035,20,5014,65,4981,68,4970,225
5,2026-03-06T01:24:46.782620,20000,25000,24,6293,20,6266,65,6231,69,6210,225
6,2026-03-06T01:24:47.125840,25000,30000,26,7548,33,7521,66,7478,77,7453,225
7,2026-03-06T01:24:47.362388,30000,35000,38,8811,62,8772,78,8721,108,8696,225
8,2026-03-06T01:24:47.696825,35000,40000,55,10063,72,10025,82,9972,108,9940,225
9,2026-03-06T01:24:48.003727,40000,45000,57,11327,97,11275,82,11218,117,11180,225
10,2026-03-06T01:24:48.289399,45000,50000,57,12579,124,12529,112,12466,123,12426,225
11,2026-03-06T01:24:48.585267,50000,55000,61,13840,146,13781,132,13711,135,13668,225
12,2026-03-06T01:24:48.789409,55000,60000,69,15094,157,15035,168,14961,147,14910,225
13,2026-03-06T01:24:48.972897,60000,65000,108,16352,183,16286,188,16211,186,16151,225
14,2026-03-06T01:24:49.175826,65000,70000,122,17604,194,17540,195,17461,207,17395,225
15,2026-03-06T01:24:49.413010,70000,75000,146,18867,210,18787,195,18712,226,18634,225
16,2026-03-06T01:24:49.765782,75000,80000,146,20125,223,20041,195,19958,239,19876,225
